Name,APID,Type,Endian,Conversion_C0,Conversion_C1,Conversion_C2,Conversion_C3,Conversion_C4
CCSDS_Header_1_APID,1,U16,little,,,,,
CCSDS_Header_2_Seq,1,U16,little,,,,,
PKT_LEN,1,U16,little,,,,,
SHCOARSE,1,U32,big,,,,,
SHFINE,1,U16,big,,,,,
cmd_recv_count,1,U8,big,,,,,
cmd_fail_count,1,U8,big,,,,,
cmd_succ_count,1,U8,big,,,,,
cmd_succ_op,1,D8,big,,,,,
cmd_fail_op,1,D8,big,,,,,
cmd_fail_code,1,D8,big,,,,,
pwr_status,1,U8,big,,,,,
sd_read_misc,1,U32,big,,,,,
sd_read_scic,1,U32,big,,,,,
sd_read_scid,1,U32,big,,,,,
sd_read_adcs,1,U32,big,,,,,
sd_read_beacon,1,U32,big,,,,,
sd_read_log,1,U32,big,,,,,
sd_write_misc,1,U32,big,,,,,
sd_write_scic,1,U32,big,,,,,
sd_write_scid,1,U32,big,,,,,
sd_write_adcs,1,U32,big,,,,,
sd_write_beacon,1,U32,big,,,,,
sd_write_log,1,U32,big,,,,,
cmd_loss_timer,1,U32,big,,,,,
alive_flags,1,U8,big,,,,,
cip_comstat,1,U32,big,,,,,
cip_temp1,1,I16,big,0,0.0078125,0,0,0
cip_temp2,1,I16,big,0,0.0078125,0,0,0
cip_temp3,1,I16,big,0,0.0078125,0,0,0
uhf_temp,1,I6,big,,,,,
uhf_config,1,U8,big,,,,,
sband_pa_curr,1,U16,big,0,0.00004,0,0,0
sband_pa_volt,1,U16,big,0,0.00004,0,0,0
sband_rf_pwr,1,U16,big,0,0.001139,0,0,0
sband_pa_temp,1,U16,big,-50,0.073242,0,0,0
sband_top_temp,1,I16,big,0,0.0625,0,0,0
sband_bottom_temp,1,I16,big,0,0.0625,0,0,0
adcs_cmd_acpt,1,U8,big,,,,,
adcs_cmd_fail,1,U8,big,,,,,
adcs_time,1,I32,big,,,,,
adcs_info,1,U8,big,,,,,
adcs_star_temp,1,I8,big,0,0.8,0,0,0
adcs_wheel_temp1,1,I16,big,0,0.005,0,0,0
adcs_wheel_temp2,1,I16,big,0,0.005,0,0,0
adcs_wheel_temp3,1,I16,big,0,0.005,0,0,0
adcs_digi_bus_volt,1,I16,big,0,0.00125,0,0,0
adcs_sun_vec1,1,I16,big,0,0.0001,0,0,0
adcs_sun_vec2,1,I16,big,0,0.0001,0,0,0
adcs_sun_vec3,1,I16,big,0,0.0001,0,0,0
adcs_wheel_sp1,1,I16,big,0,0.4,0,0,0
adcs_wheel_sp2,1,I16,big,0,0.4,0,0,0
adcs_wheel_sp3,1,I16,big,0,0.4,0,0,0
adcs_body_rt1,1,I32,big,0,0.000000005,0,0,0
adcs_body_rt2,1,I32,big,0,0.000000005,0,0,0
adcs_body_rt3,1,I32,big,0,0.000000005,0,0,0
padding1,1,I32,big,,,,,
padding2,1,I32,big,,,,,
padding3,1,I32,big,,,,,
DAXSS Time Stamp (seconds),1,I32,big,,,,,
daxss_cmd_op,1,U8,big,,,,,
daxss_cmd_succ,1,U8,big,,,,,
daxss_cmd_fail,1,U8,big,,,,,
daxss_cdh_enables,1,U16,big,,,,,
daxss_cdh_temp,1,U16,big,0,0.003906,0,0,0
daxss_sps_rate,1,U32,big,,,,,
daxss_sps_x,1,U16,big,,,,,
daxss_sps_y,1,U16,big,,,,,
daxss_slow_count,1,U16,big,,,,,
bat_fg1,1,U16,big,0,0.003906,0,0,0
daxss_curr,1,U16,big,0,0.0005,0,0,0
daxss_volt,1,U16,big,0,0.001,0,0,0
cdh_curr,1,U16,big,0,0.0005,0,0,0
cdh_volt,1,U16,big,0,0.001,0,0,0
sband_curr,1,U16,big,0,0.0005,0,0,0
sband_volt,1,U16,big,0,0.001,0,0,0
uhf_curr,1,U16,big,0,0.0005,0,0,0
uhf_volt,1,U16,big,0,0.001,0,0,0
heater_curr,1,U16,big,0,0.0005,0,0,0
heater_volt,1,U16,big,0,0.001,0,0,0
sp2_curr,1,U16,big,0,0.0005,0,0,0
sp2_volt,1,U16,big,0,0.001,0,0,0
sp1_curr,1,U16,big,0,0.0005,0,0,0
sp1_volt,1,U16,big,0,0.001,0,0,0
sp0_curr,1,U16,big,0,0.00125,0,0,0
sp0_volt,1,U16,big,0,0.00125,0,0,0
bat_vcell,1,U16,big,,,,,
gps_12v_2_curr,1,U16,big,0,0.0005,0,0,0
gps_12v_2_volt,1,U16,big,0,0.001,0,0,0
gps_12v_1_curr,1,U16,big,0,0.0005,0,0,0
gps_12v_1_volt,1,U16,big,0,0.001,0,0,0
bat_curr,1,U16,big,0,0.0005,0,0,0
bat_volt,1,U16,big,0,0.001,0,0,0
adcs_curr,1,U16,big,0,0.0005,0,0,0
adcs_volt,1,U16,big,0,0.001,0,0,0
3p3_curr,1,U16,big,0,0.0005,0,0,0
3p3_volt,1,U16,big,0,0.001,0,0,0
cip_curr,1,U16,big,0,0.0005,0,0,0
cip_volt,1,U16,big,0,0.001,0,0,0
obc_temp,1,U16,big,91.394,-0.0894932,3.55E-05,-6.26E-09,1.89E-13
eps_temp,1,U16,big,91.394,-0.0894932,3.55E-05,-6.26E-09,1.89E-13
int_temp,1,U16,big,91.394,-0.0894932,3.55E-05,-6.26E-09,1.89E-13
sp0_temp,1,U16,big,91.394,-0.0894932,3.55E-05,-6.26E-09,1.89E-13
bat0_temp,1,U16,big,-259.74,1.471182747,3.59E-04,8.77E-08,2.14E-11
